iter	Passed	Remaining
411	4190	895
412	4199	884
413	4211	874
414	4221	864
415	4231	854
416	4241	844
417	4251	834
418	4260	823
419	4268	812
420	4278	802
421	4288	792
422	4298	782
423	4306	771
424	4318	762
425	4328	751
426	4338	741
427	4349	731
428	4361	721
429	4370	711
430	4380	701
431	4391	691
432	4399	680
433	4409	670
434	4420	660
435	4429	650
436	4440	640
437	4451	630
438	4462	620
439	4472	609
440	4481	599
441	4492	589
442	4503	579
443	4513	569
444	4523	559
445	4533	548
446	4545	538
447	4554	528
448	4563	518
449	4574	508
450	4585	498
451	4597	488
452	4607	478
453	4618	467
454	4629	457
455	4639	447
456	4648	437
457	4658	427
458	4667	416
459	4678	406
460	4688	396
461	4700	386
462	4709	376
463	4719	366
464	4730	356
465	4740	345
466	4750	335
467	4758	325
468	4762	314
469	4772	304
470	4782	294
471	4792	284
472	4803	274
473	4814	264
474	4825	253
475	4833	243
476	4842	233
477	4853	223
478	4864	213
479	4874	203
480	4883	192
481	4893	182
482	4903	172
483	4913	162
484	4923	152
485	4934	142
486	4944	131
487	4952	121
488	4963	111
489	4971	101
490	4982	91
491	4991	81
492	5001	71
493	5010	60
494	5021	50
495	5030	40
496	5040	30
497	5051	20
498	5059	10
499	5069	0
