iter	MultiClass
0	1.153415889
1	0.9841186698
2	0.8548547458
3	0.7514712568
4	0.6656519853
5	0.5925058066
6	0.5337418093
7	0.4828141327
8	0.4377054212
9	0.3981240813
10	0.3653096894
11	0.3347061246
12	0.3055648034
13	0.281746996
14	0.2592810102
15	0.2404010253
16	0.2219046229
17	0.2058641028
18	0.1903686211
19	0.1769830146
20	0.1651629154
21	0.1547507183
22	0.1457118632
23	0.1373777711
24	0.1296669901
25	0.1220853936
26	0.1154851348
27	0.1096129117
28	0.1043570744
29	0.09916700577
30	0.09502361345
31	0.0909644439
32	0.08668610499
33	0.08282393298
34	0.07941744605
35	0.07652910619
36	0.07376039519
37	0.07145323569
38	0.06882286315
39	0.06676642816
40	0.06471505009
41	0.06265628352
42	0.06053148955
43	0.05832656865
44	0.05644533926
45	0.05512285068
46	0.05345397427
47	0.05201617712
48	0.05053695712
49	0.04874865565
50	0.0473968229
51	0.0455681061
52	0.04472482103
53	0.04381968903
54	0.04305723123
55	0.04199452015
56	0.04099339361
57	0.04022659629
58	0.03958411573
59	0.03874139695
60	0.03783546201
61	0.03698388284
62	0.03631631288
63	0.0357461007
64	0.03503488269
65	0.03467088394
66	0.03409237031
67	0.03340161464
68	0.03283413795
69	0.03249902496
70	0.03196946944
71	0.03155754411
72	0.03113939376
73	0.03065711956
74	0.02984007065
75	0.02927605268
76	0.02878572851
77	0.0283175097
78	0.02790960494
79	0.02737077686
80	0.02671228836
81	0.02620717105
82	0.02591359961
83	0.02549089621
84	0.0251927876
85	0.02483317242
86	0.02453306756
87	0.02423404304
88	0.02399537465
89	0.02382149316
90	0.02365575908
91	0.02331219584
92	0.02288973591
93	0.02274256958
94	0.02238985991
95	0.02210411912
96	0.02187196351
97	0.02155471949
98	0.02129946348
99	0.02109471113
100	0.020971804
101	0.02074997859
102	0.02053440086
103	0.02027021212
104	0.02010946542
105	0.02001933377
106	0.01980154705
107	0.01974719395
108	0.01957382164
109	0.01932154984
110	0.01909647007
111	0.01892968031
112	0.01865609389
113	0.01833579263
114	0.01816362406
115	0.01805665833
116	0.01787566321
117	0.01779201541
118	0.01758920151
119	0.01745260755
120	0.01724878763
121	0.01718470442
122	0.01694458953
123	0.01680383813
124	0.01663946674
125	0.01658625568
126	0.01637855428
127	0.01615902338
128	0.01599881455
129	0.01577252742
130	0.01574324419
131	0.0157229364
132	0.01566152386
133	0.01555667897
134	0.01550130337
135	0.01532777469
136	0.01517919734
137	0.01499865783
138	0.01487137276
139	0.01470870241
140	0.01456931729
141	0.01444575098
142	0.01431128138
143	0.01415264736
144	0.0140337257
145	0.01395090837
146	0.01382361476
147	0.01370924388
148	0.01358658817
149	0.01348703778
150	0.01346154223
151	0.01338127163
152	0.01331080102
153	0.01319589764
154	0.01307719333
155	0.01304313695
156	0.0130130993
157	0.01295631901
158	0.01286246732
159	0.01269979949
160	0.01265571598
161	0.01262642836
162	0.01247718984
163	0.01242832624
164	0.01233259884
165	0.01224594277
166	0.01214674695
167	0.01210546933
168	0.01208855268
169	0.01205009985
170	0.01196101391
171	0.01188100506
172	0.01181094486
173	0.01171060858
174	0.01166311534
175	0.01156527405
176	0.01144736302
177	0.01132136561
178	0.01124807955
179	0.01117795605
180	0.01111061784
181	0.01108056824
182	0.01099675851
183	0.01097090314
184	0.01096312635
185	0.01092216291
186	0.01088682808
187	0.01079205479
188	0.01074535866
189	0.0107243639
190	0.01068431049
191	0.01066930751
192	0.01058903234
193	0.01051492464
194	0.01046108851
195	0.01043113535
196	0.0104031245
197	0.01032549829
198	0.01023737318
199	0.01016807352
200	0.0100962717
201	0.01005433424
202	0.009996980991
203	0.009979242082
204	0.009894105378
205	0.009834615997
206	0.009759671214
207	0.009716687552
208	0.009701622111
209	0.009674105358
210	0.009604571318
211	0.009548315306
212	0.009515226489
213	0.009500985084
214	0.009461974088
215	0.009438630192
216	0.009402568006
217	0.009388377539
218	0.009336277694
219	0.009279741433
220	0.009214256073
221	0.009158045289
222	0.009092412441
223	0.009014820827
224	0.008950396942
225	0.008930882777
226	0.008889319554
227	0.008846749771
228	0.008826770052
229	0.008770733701
230	0.008703777549
231	0.008682137401
232	0.008659883522
233	0.008622115244
234	0.008559936027
235	0.008550535949
236	0.008507674406
237	0.008458027112
238	0.008444902449
239	0.008417824249
240	0.008352478462
241	0.008300773914
242	0.008235949437
243	0.008206278517
244	0.008148112854
245	0.008089690389
246	0.008041860374
247	0.007997112821
248	0.007957041429
249	0.007940127945
250	0.007898355459
251	0.007859609496
252	0.007851571242
253	0.007812032536
254	0.007804717025
255	0.007753052351
